customer_id,frequency,recency,T,monetary_value
cust_0000,4,2.834016379547371,52.0,51.184805723291
cust_0001,5,32.04806643623171,52.0,45.293684314095515
cust_0002,5,2.202228682168689,52.0,59.47812369919642
cust_0003,3,45.97557699107449,52.0,107.14367144456112
cust_0004,5,36.898070825232274,52.0,34.97467490801135
cust_0005,1,9.002648013970168,52.0,68.5633012675316
cust_0006,5,4.7694923028583,52.0,74.20390716887458
cust_0007,1,9.543727901776586,52.0,91.33571993726747
cust_0008,4,50.96141333681801,52.0,37.98450792331628
cust_0009,5,23.845153407841472,52.0,37.19626256179368
cust_0010,2,40.772209313753216,52.0,51.48121912643849
cust_0011,0,0.0,52.0,0.0
cust_0012,6,33.0932337896044,52.0,51.97398590705063
cust_0013,3,29.765483797849143,52.0,33.713286040239765
cust_0014,5,7.546773242582584,52.0,74.994638509729
cust_0015,4,49.193271585020945,52.0,71.7013776356053
cust_0016,1,15.669816890765333,52.0,127.05524353834092
cust_0017,5,30.056895221992193,52.0,48.41073581758131
cust_0018,2,36.38834911863144,52.0,33.27665797505779
cust_0019,2,33.760124072756064,52.0,35.97513139598792
cust_0020,2,48.91090930416696,52.0,65.1206191781122
cust_0021,4,7.718827475843016,52.0,38.40693282620456
cust_0022,2,26.434342399240986,52.0,77.43786313621888
cust_0023,8,21.00978831851983,52.0,40.72241243146368
cust_0024,3,24.656773933096144,52.0,61.01553507705346
cust_0025,3,6.19931136228272,52.0,54.2561709800146
cust_0026,6,6.9729197133837975,52.0,35.765218040996785
cust_0027,1,14.459928380625383,52.0,26.119228364271248
cust_0028,2,15.844639395563227,52.0,94.97993554686809
cust_0029,2,22.2509671114302,52.0,65.96008737783237
cust_0030,4,31.77135244590467,52.0,31.054490772149425
cust_0031,3,33.00071410574968,52.0,32.55146448532701
cust_0032,5,21.414166622449653,52.0,125.37185432923005
cust_0033,3,21.25672169029225,52.0,36.975006900213536
cust_0034,4,11.316683388242023,52.0,109.00807354173453
cust_0035,5,30.59192491726843,52.0,62.70700770759564
cust_0036,2,16.48612738849637,52.0,23.167583116458342
cust_0037,6,1.8751113824229124,52.0,45.72099317151044
cust_0038,3,21.75680229615674,52.0,79.8167106497878
cust_0039,1,24.654899104688855,52.0,21.439199883671783
cust_0040,9,11.730829146618971,52.0,42.323052500209464
cust_0041,2,29.767812522350017,52.0,41.25568071294053
cust_0042,2,29.42013882245989,52.0,71.23162868488424
cust_0043,2,36.50411341773931,52.0,68.43774660559617
cust_0044,4,33.69332107446292,52.0,71.1374148248023
cust_0045,3,33.92651893909364,52.0,62.32315274361389
cust_0046,2,16.443135894850244,52.0,68.38509818701323
cust_0047,3,40.9464755432696,52.0,28.89678307120268
cust_0048,4,28.55550794718333,52.0,62.500613230211
cust_0049,3,22.433746149354285,52.0,102.67128394385117
cust_0050,5,32.55264900893497,52.0,56.836456458548184
cust_0051,3,18.754181391413223,52.0,41.42341266310608
cust_0052,7,26.662440719551427,52.0,43.278388193732496
cust_0053,3,38.30869580107546,52.0,99.27146138910584
cust_0054,5,46.0929501096328,52.0,13.849823241472276
cust_0055,4,47.894974259349965,52.0,151.4911448121322
cust_0056,3,26.18891210952116,52.0,19.301948327996353
cust_0057,2,27.05430596650959,52.0,48.90312320481037
cust_0058,4,41.5932613597195,52.0,31.812257177057518
cust_0059,2,16.351435970698464,52.0,70.72690429759814
cust_0060,0,0.0,52.0,0.0
cust_0061,1,43.543882841943564,52.0,76.15108054755692
cust_0062,2,25.695365618906017,52.0,60.57704888542209
cust_0063,5,6.024549665433956,52.0,52.39892648136651
cust_0064,2,3.7470756477930722,52.0,22.050267972212886
cust_0065,2,43.78364697405208,52.0,46.47561818203149
cust_0066,2,2.889531679157651,52.0,51.60518420400621
cust_0067,3,14.591794678950107,52.0,31.984104887985332
cust_0068,8,17.374762106080382,52.0,64.69457105088156
cust_0069,5,8.995711149962878,52.0,60.72565894615471
cust_0070,2,16.32245522970344,52.0,48.01873985515907
cust_0071,3,38.62001346970445,52.0,55.54595219962541
cust_0072,6,0.76350786512368,52.0,47.586043360634136
cust_0073,6,43.01301807507569,52.0,22.400533501866
cust_0074,4,44.540497225877026,52.0,69.44920251553646
cust_0075,3,19.357601805960506,52.0,12.354948191872655
cust_0076,8,7.987870751153009,52.0,63.361529268940586
cust_0077,3,31.243701213144206,52.0,28.330237010993354
cust_0078,6,6.2229729049745055,52.0,65.5531586211656
cust_0079,3,18.97580677606913,52.0,66.58798168457187
cust_0080,2,49.838317406850564,52.0,66.66365881197852
cust_0081,6,51.76415257434913,52.0,79.95384611743276
cust_0082,2,40.149454350438454,52.0,95.11918034176539
cust_0083,7,16.169998515879843,52.0,45.45428444472043
cust_0084,4,35.75858255663681,52.0,79.10313894211326
cust_0085,4,36.68113100516866,52.0,44.9277587189283
cust_0086,0,0.0,52.0,0.0
cust_0087,4,20.167768148509786,52.0,64.54276436569066
cust_0088,3,33.32620899848029,52.0,84.48321693953392
cust_0089,4,0.5578375387351646,52.0,37.18687802052806
cust_0090,5,10.870998247316557,52.0,14.81544016140672
cust_0091,2,27.30459175429758,52.0,35.46879655891258
cust_0092,3,8.515067821431385,52.0,90.08978059665587
cust_0093,0,0.0,52.0,0.0
cust_0094,2,8.62715712957975,52.0,33.30321349045077
cust_0095,2,43.487823108612375,52.0,87.83835523527675
cust_0096,5,51.43491613954748,52.0,35.55645558343319
cust_0097,1,28.910410257479317,52.0,50.45120361092502
cust_0098,5,43.6316260058491,52.0,55.64697914085879
cust_0099,4,51.49672654496617,52.0,33.22509854261498
