date,meta,google,tiktok,youtube,discount,revenue
2023-01-02,78771.62542742449,99394.8389055775,10966.359212052448,49167.62801687878,0.0,3187960.1599268047
2023-01-09,58528.34354538361,88329.7190653548,36821.637006090175,21205.996034823867,0.0,3694658.28129246
2023-01-16,58010.624174689605,129058.26322927608,54310.390957036834,45522.957023743176,0.0,3760396.2632181467
2023-01-23,134549.70584643123,161225.3288857225,50878.04125167594,52283.464171403306,0.0,4150593.9355425322
2023-01-30,113388.8520026949,196458.32009710968,57432.672340124045,12057.56278650117,1.0,4560057.706811038
2023-02-06,69944.62891328991,141750.46713427256,17880.71671768668,32522.648604126854,0.0,4045076.8262856826
2023-02-13,96484.49735777876,104878.0456898267,71458.72154727159,63522.5172358507,0.0,4143957.8142885896
2023-02-20,103751.33543265142,150549.31084781743,73823.72965789345,28321.183910618394,0.0,4302354.929909399
2023-02-27,181051.92165179376,139329.13237175837,75638.34058733862,68891.20994563855,1.0,4954861.627616032
2023-03-06,55729.194715317615,105046.26572748672,40442.6163031551,72314.83304912485,0.0,4454757.410305198
2023-03-13,103164.58435698647,137675.04807027717,27539.85053890421,63382.13305949445,0.0,4312585.867048367
2023-03-20,134263.37638672994,136626.134588918,25989.434831639177,80500.78062700269,0.0,4397675.895014515
2023-03-27,171904.6785302329,99157.96455626658,10919.111999193085,20359.444627833822,0.0,4038593.3198900726
2023-04-03,68331.67129154237,81365.14494890752,24440.883134301603,89082.06642538813,0.0,4109337.5403525555
2023-04-10,77484.3256546891,131828.6782220491,4633.107175017074,30584.740179584554,0.0,4189144.997758379
2023-04-17,123552.29594333636,64437.657555036545,9775.28049096009,57893.87995562606,0.0,4064702.8459800812
2023-04-24,43118.03491157077,58247.998446657824,40194.622924084695,124473.96236237623,0.0,4012701.762537161
2023-05-01,107544.51910027493,115961.76577049233,29561.141386764008,44999.215829743225,1.0,4650399.200406883
2023-05-08,208911.270440941,130371.28306779,39166.11426897256,55329.56940800145,0.0,4381055.412508557
2023-05-15,112407.1718682045,115605.41043555023,51941.536103043865,30692.765429264142,0.0,4398031.11150843
2023-05-22,28199.377003566853,120782.29451578416,43499.86858168992,123859.74225955608,0.0,4246039.030666403
2023-05-29,62431.863818780184,36675.14033621097,41347.71953298255,32563.8659167956,0.0,3797057.549282694
2023-06-05,69306.84271199217,129472.29606460624,32850.42750697661,75493.40219433892,0.0,4068072.797333229
2023-06-12,147379.71503420232,179213.30925780605,21004.428268301734,99268.42239447351,0.0,3873068.9883162007
2023-06-19,86645.92292115188,142745.06446227344,14390.698193319788,79110.97024083206,0.0,4146111.0464234604
2023-06-26,38065.34734642539,140992.79653593243,24863.710911620936,65380.66494367505,0.0,3541503.9954893724
2023-07-03,91028.89196795534,112307.4202760365,33187.743122090804,57436.964655932024,0.0,3731287.052564893
2023-07-10,99075.73708730856,114027.8675610984,35763.73019803977,25821.11285643394,1.0,4339040.489121735
2023-07-17,73380.59078064389,95808.29596516665,57503.1194882075,121108.32716227935,0.0,3987834.116056022
2023-07-24,57536.943041390135,119325.6068512927,31386.753386549673,62660.93958123031,0.0,3710450.2553944653
2023-07-31,218802.76740592354,63034.06266301736,47661.18026733339,55346.928159137875,0.0,3773980.1468319576
2023-08-07,134449.4430826813,179557.0804605942,12116.419700903825,29191.497002132674,0.0,4101132.6127206516
2023-08-14,139644.62240721282,70668.64413564527,40532.245183095125,56752.7499307938,0.0,3739036.1458076523
2023-08-21,86728.05440635631,142627.22007955145,38855.0280887325,53542.54170660759,0.0,4132351.05262255
2023-08-28,67805.32029328618,170198.2057627917,71472.53668317926,124472.31088169767,0.0,4018176.8882963783
2023-09-04,75023.57065461285,142489.82433223704,29577.566100425996,55329.400634770216,0.0,3908119.7422066918
2023-09-11,48291.98066467779,237776.250931703,28796.577196506532,56279.70262473566,1.0,4456227.852072418
2023-09-18,179531.55891289058,37984.23686326934,52151.597363827015,29399.939755865063,0.0,3692731.4173973296
